artist,title,year,country,format,label,discogs_low_price,copies_for_sale_on_discogs,status
Toy Love,Toy Love,2013,US,"2 x Vinyl, LP, Compilation","Captured Tracks – FNCT001, Flying Nun Records – FNCT001, Flying Nun Records – FNLP528",49.98,1,
Anti Establishment,Future Girl / No Trust,1982,UK,"Vinyl, 7"", 45 RPM, Single",Glass Records (2) – GLASS 022,4.60,14,Recently Edited
Menace (7),Screwed Up,1978,UK,"Vinyl, 12"", 45 RPM, Single Red Labels",Illegal Records (2) – IL004,6.90,37,Recently Edited
Screeching Weasel,Suzanne Is Getting Married / Waiting For Susie,1994,US,"Vinyl, 7"", Single","Lookout! Records – Lookout Number 86, Lookout! Records – Lookout Records 86",9.99,9,New Submission
The Haskels,Taking The City By Storm,2002,US,"Vinyl, 7"", 45 RPM, Reissue, Unofficial Release",Kerplunko – none,26.16,1,Recently Edited
Puncture,Mucky Pup,1977,UK,"Vinyl, 7"", Single, 45 RPM, Limited Edition",Small Wonder Records – small one,85.19,8,Recently Edited
The Rings (2),I Wanna Be Free,1977,UK,"Vinyl, 7"", 45 RPM, Single Laminated Sleeve","Chiswick Records – S14, Chiswick Records – S 14",27.03,12,Recently Edited
Eater (2),Thinkin' Of The U.S.A.,1977,UK,"Vinyl, 7"", 45 RPM",The Label (2) – TLR 003,14.37,14,New Submission
The Outcasts,Frustration,2017,UK,"Vinyl, 7"", 45 RPM, EP, Limited Edition, Picture Disc, Reissue",Punkerama Records – PUNKERAMA 1976,22.98,3,New Submission
The Panics (2),1980-1981: Please Panic!!,2001,Italy,"Vinyl, LP, Compilation","Vulcher Records – VULCHER 0004, Hate Records (5) – VULCHER 0004",12.64,11,New Submission
Epicycle,You're Not Gonna Get It: 1978-'81,2013,US,"Vinyl, LP, Compilation",HoZac Records – HZR-137,17.99,3,New Submission
Toxin III,Six Song EP,2015,US,"Vinyl, 7"", 33 ⅓ RPM, EP, Reissue, Remastered",Jeth-Row Records – JRR-33 1/3,40.23,2,
Automatics,When The Tanks Roll Over Poland Again,1978,UK,"Vinyl, 7"", Single, 45 RPM","Island Records – WIP 6439, Island Records – WIP6439",17.55,24,New Submission
Chainshot,Chainshot II,2015,US,"Lathe Cut, 7"", Mono",Funky Frankenstein Records – none,,,
Chainshot,Chainshot,2014,US,"Lathe Cut, 7"", 33 ⅓ RPM, Mono Clear",Funky Frankenstein Records – FF-20,11.49,2,New Submission
Rixe,Baptême Du Feu,2017,UK,"Vinyl, 7"", 33 ⅓ RPM, EP",La Vida Es Un Mus – MUS136,5.75,5,Recently Edited
Raspberries,Side 3,1973,US,"Vinyl, LP, Album Jacksonville Pressing",Capitol Records – SMAS-11220,15.75,14,Recently Edited
Raped,Pretty Paedophiles,1977,UK,"Vinyl, 7"", 45 RPM, EP",Parole Records – KNIT 1,27.03,17,New Submission
The Sussed,Sussed Out,1996,US,"CD, Album",Sta Press Records – #002,7.57,1,Recently Edited
Suzi Quatro,Suzi Quatro,1974,Canada,"Vinyl, LP, Album, Stereo",Bell Records – BELL 1302,10.71,1,Recently Edited
The Vindictives,The Many Moods Of The Vindictives,1995,US,"2 x Vinyl, LP, Compilation",Lookout! Records – Lookout 116,19.54,17,Recently Edited
The Suicide Commandos,Make A Record,1978,US,"Vinyl, LP, Album",Blank Records (2) – 002,45.97,7,
Lost Sounds,Lost Sounds,2004,US,"Vinyl, LP, Album",In The Red Recordings – ITR 117,20.00,9,New Submission
Crimpshrine,Duct Tape Soup,1992,US,"Vinyl, LP, Compilation","Lookout! Records – #57, Lookout! Records – LOOKOUT #57, Lookout! Records – LK 57",27.99,6,Recently Edited
The Hellacopters,Grande Rock,1999,US,"Vinyl, LP, Album","Sub Pop – SP 476, Psychout Records (2) – PSYCH005",50.00,21,Recently Edited
The Dils,Dils Dils Dils,2001,US,"Vinyl, LP, Compilation",Bacchus Archives – BA1166,22.98,6,New Submission
Distortion (4),Brothers Under The Skin,1997,Germany,"Vinyl, LP, Album, Limited Edition, Numbered",Oi! The Boys Records – O.T.B. #003,22.99,1,New Submission
Reducers SF*,Backing The Longshot,1999,US,"Vinyl, LP, Album",TKO Records – TKO ROUND 21,17.24,10,New Submission
The Business,The Best Of The Business,1993,UK,"Vinyl, LP | Vinyl, 7"" | All Media, Compilation, Limited Edition",Dojo Limited – DOJO LP 124,44.84,2,Recently Edited
